Method,App.,Material,Solid,\(\mu\),\(V\),\(h_{0}\),\(f_{r}\),Temp.,\(w\),\(t_{\text{varidity}}
D\({}^{21}\),DSSC,TiO\({}_{2}\),10wt%,-,1,-,-,120-140,-,10 (wet)
DG\({}^{22}\),**-** ,**-**,992-1088 kg/m\({}^{3}\),4-Jan,19.8-210,-,-,-,100,1-10 (dry)
K\({}^{28}\),e-paper,TiO\({}_{2}\),-,-,9.14,-,-,179-192,**-**,12-40 (dry)
K\({}^{37}\),OPV,ZnO,50 mg/ml,-,0.8,300,-,125-130,250,0.02 (dry)
K/MG\({}^{33}\),Battery (Li),Carbon,-,-,0.25-10,25 (K),-,875-1185,2-200 (dry),
K/SD\({}^{34}\),Fuel cell,PBI,9wt%,-,0.20,400,-,140,250,40 (dry)
LFS\({}^{24}\),Paper,TiO\({}_{2}\),50 mg/ml,-,150,10\({}^{3}\)-25-10\({}^{4}\),23,75-110,50,1 (dry)
MG\({}^{32}\),Sensor (flex),Carbon,1120 kg/m\({}^{3}\),20,0.3 (web),-,-,130,150,4.31 (dry)
MG\({}^{31}\),TCF,PEDOT:PSS,-,1-1000,0.18,-,-,-,-,0.02 (dry)
SD\({}^{6}\),AR,Si,1.5-5,3.3,1.6-4.4,100,13-Feb,140,100,0.06-0.13 (dry)
SD\({}^{73}\),OPV,P3HT:PCBM,13.5 mg/ml,-,2,-,1.7,140,\(<\)305,0.129 (dry)
SD\({}^{88}\),OPV,\begin{tabular}{} \end{tabular},60 mg/ml,25,240,-,-,140,**-**,100 (wet)
SD\({}^{33}\),Ag,-,-,1.2-2.4,100,7-Feb,**-**,250,0.67-0.252 (dry),
SD\({}^{35}\),PSA,PSA,20wt%,1800,10-Feb,100-400,10.65-53.74,120,150,4.5-5 (dry)
SD\({}^{34}\),TCF,\begin{tabular}{} \end{tabular},0.5wt%,**-**,2.7,100,25-Mar,150,260,**-**
SD\({}^{36}\),TCF,\begin{tabular}{} \end{tabular},-,2.12-8.68,2-Jan,30-50,9-Mar,110,250,1-26 (wet)
S\({}^{35}\),SC,CNT,1 mg/ml,-,4 cm\({}^{2}\)/s,-,-,-,-,4 (dry)
D21,DSSC,TiO2,10wt%,-,1,-,-,120-140,-,10 (wet)
DG22,-,-,992-1088 kg/m3,1-4,19.8-210,-,-,-,100,1-10 (dry)
K28,e-paper,TiO2,-,-,9.14,-,-,179-192,-,12-40 (dry)
K37,OPV,ZnO,50 mg/ml,-,0.8,300,-,125-130,250,0.02 (dry)
K/MG33,Battery (Li),Carbon,-,-,0.25-10,25 (K),-,-,875-1185,2-200 (dry)
K/SD34,Fuel cell,PBI,9wt%,-,0.20,400,-,140,250,40 (dry)
LFS24,Paper,TiO2,50 mg/ml,-,150,10^3-25-10^4,23,75-110,50,1 (dry)
MG32,Sensor (flex),Carbon,1120 kg/m3,20,0.3 (web),-,-,130,150,4.31 (dry)
MG31,TCF,PEDOT:PSS,-,1-1000,0.18,-,-,-,-,0.02 (dry)
SD6,AR,Si,1.5-5,3.3,1.6-4.4,100,2-13,140,100,0.06-0.13 (dry)
SD73,OPV,P3HT:PCBM,13.5 mg/ml,-,2,-,1.7,140,<305,0.129 (dry)
SD88,OPV,,60 mg/ml,25,240,-,-,140,-,100 (wet)
SD33,,Ag,-,-,1.2-2.4,100,2-7,-,250,0.67-0.252 (dry)
SD35,PSA,PSA,20wt%,1800,2-10,100-400,10.65-53.74,120,150,4.5-5 (dry)
SD34,TCF,,0.5wt%,-,2.7,100,3-25,150,260,-
SD35,TCF,,10-20wt%,-,-,-,-,-,-,-
SD36,TCF,,-,2.12-8.68,1-2,30-50,3-9,110,250,1-26 (wet)
S35,SC,CNT,1 mg/ml,-,4 cm^2/s,-,-,-,-,4 (dry)